algorithm,sample_size,runtime,memory_mb,time_per_node
Common Neighbors,50,1.1230344772338867,7.62939453125e-05,0.022460689544677736
Common Neighbors,100,2.2668025493621826,7.62939453125e-05,0.022668025493621825
Common Neighbors,200,4.73578953742981,7.62939453125e-05,0.02367894768714905
Adamic-Adar,50,1.8461225032806396,0.002593994140625,0.036922450065612795
Adamic-Adar,100,3.8813717365264893,0.002593994140625,0.03881371736526489
Adamic-Adar,200,9.456506729125977,0.002593994140625,0.047282533645629884
Jaccard Coefficient,50,2.49739933013916,0.002593994140625,0.049947986602783205
Jaccard Coefficient,100,4.709488868713379,0.002593994140625,0.04709488868713379
Jaccard Coefficient,200,9.815778732299805,0.002593994140625,0.04907889366149902
Preferential Attachment,50,0.7068614959716797,0.10382843017578125,0.014137229919433593
Preferential Attachment,100,1.5344784259796143,0.10724639892578125,0.015344784259796143
Preferential Attachment,200,3.036975145339966,0.10772705078125,0.01518487572669983
Resource Allocation,50,2.1360795497894287,0.002593994140625,0.04272159099578857
Resource Allocation,100,4.521733522415161,0.002593994140625,0.04521733522415161
Resource Allocation,200,9.069699764251709,0.002593994140625,0.04534849882125855
